"id","alias","name","technical_id","description","status","tags","created_by","created_at","updated_at","deleted_at"
"120100005","","ترمینال نری نك پب (357450310)","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100006","","ترمینال مادگی نك پب (357460310)","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100007","","ترمینال نری پك (357470110)","FAF:B450003-3-II","","0",NULL,"","2025-10-18 11:39:18","",""
"120100009","","ترمینال نری پب (357470310)","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100010","","ترمینال مادگی پب (357480310)","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100011","","ترمینال نری پم (357470210)","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100012","","ترمینال مادگی پم (357480210)","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100013","","ترمینال مادگی 6/3 پایه بلند پشت چاكدار","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100017","","ترمینال مادگی 6/3 خاردار","MESA: TD 2114.80 RP","","0",NULL,"","2025-10-18 11:39:18","",""
"120100020","","ترمینال مادگی 4/8","0100104014(SF1D MINI (A) (4.8) RP)","","0",NULL,"","2025-10-18 11:39:18","",""
"120100022","","ترمینال نری خاردار 4/8","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100025","","ترمینال مهره خور 6","KET:ST710236-1","","0",NULL,"","2025-10-18 11:39:18","",""
"120100026","","ترمینال پرچمی","TB2203.80","","0",NULL,"","2025-10-18 11:39:18","",""
"120100027","","ترمینال پشت نری","0100104403(SF1DE TEK ZIM-90 (6.3) RP)","","0",NULL,"","2025-10-18 11:39:18","",""
"120100028","","ترمینال كلمپ ریز (اسپیلایس)","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100030","","ترمینال كلمپ درشت MT560149-1 (اسپیلایس)","KET:760149-1","","0",NULL,"","2025-10-18 11:39:18","",""
"120100031","","ترمینال نری تلفنی خاردار","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100032","","ترمینال مادگی تلفنی (ST730099-1)","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100033","","ترمینال مادگی لول 3/5","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100034","","ترمینال دهانه ماهی escubido  8441.01","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100035","","ترمینال مادگی 6/3 escubido  4831.01","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100038","","ترمینال پرچمی آبكاری شده","KET:730119-2  & HATKO:101104012       MESA: TB2203.80 RPK","","0",NULL,"","2025-10-18 11:39:18","",""
"120100039","","ترمینال مادگی 6/3 آبكاری شده پایه بلند( 357254610)","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100040","","ترمینال مادگی 6/3 آبكاری شده پایه كوتاه (357254510)","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100041","","ترمینال پرچمی 6/3 خاص (357252610)","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100044","","ترمینال مهره خور 4  SKN1-04RP","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100046","","ترمینال پرچمی ST730619-3","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100048","","ترمینال مهره خور 4 خورشیدی آبكاری شده  TS 2434  RPK","","","0",NULL,"","2025-10-18 11:39:18","",""
"120100049","","ترمینال پرچمی ST730220-5","","","0",NULL,"","2025-10-18 11:39:18","",""
